"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 27, 2019","1,506.40","1,511.80","1,519.50","1,493.30","451.93K","-0.58%"
"Sep 26, 2019","1,515.20","1,510.90","1,542.80","1,507.10","378.29K","0.19%"
"Sep 25, 2019","1,512.30","1,539.80","1,543.30","1,507.40","481.46K","-1.81%"
"Sep 24, 2019","1,540.20","1,529.80","1,543.30","1,517.90","424.86K","0.57%"
"Sep 23, 2019","1,531.50","1,521.50","1,534.40","1,505.30","359.88K","1.08%"
"Sep 20, 2019","1,515.10","1,506.80","1,524.50","1,505.30","284.39K","0.59%"
"Sep 19, 2019","1,506.20","1,502.00","1,512.10","1,496.30","291.30K","-0.63%"
"Sep 18, 2019","1,515.80","1,509.70","1,519.50","1,490.70","364.96K","0.16%"
"Sep 17, 2019","1,513.40","1,506.50","1,515.00","1,500.90","336.63K","0.13%"
"Sep 16, 2019","1,511.50","1,513.10","1,519.70","1,503.40","349.61K","0.80%"
"Sep 13, 2019","1,499.50","1,506.50","1,516.60","1,493.10","364.42K","-0.52%"
"Sep 12, 2019","1,507.40","1,504.90","1,532.20","1,496.80","491.47K","0.28%"
"Sep 11, 2019","1,503.20","1,493.90","1,506.20","1,492.90","308.79K","0.27%"
"Sep 10, 2019","1,499.20","1,507.00","1,509.10","1,492.10","397.92K","-0.79%"
"Sep 09, 2019","1,511.10","1,516.40","1,523.80","1,505.50","317.52K","-0.29%"
"Sep 06, 2019","1,515.50","1,525.60","1,536.20","1,510.70","544.87K","-0.66%"
"Sep 05, 2019","1,525.50","1,561.40","1,561.90","1,514.30","606.40K","-2.24%"
"Sep 04, 2019","1,560.40","1,556.00","1,566.20","1,542.60","412.35K","0.29%"
"Sep 03, 2019","1,555.90","1,535.20","1,558.90","1,528.00","554.83K","1.35%"
"Sep 02, 2019","1,535.15","1,537.95","1,540.05","1,528.15","-","-0.19%"
"Sep 01, 2019","1,538.05","1,535.25","1,542.90","1,535.25","-","0.57%"
"Aug 30, 2019","1,529.40","1,536.90","1,541.90","1,525.60","330.85K","-0.49%"
"Aug 29, 2019","1,536.90","1,549.40","1,559.80","1,528.60","455.60K","-0.79%"
"Aug 28, 2019","1,549.10","1,551.80","1,556.60","1,541.40","353.91K","-0.17%"
"Aug 27, 2019","1,551.80","1,537.30","1,554.50","1,535.30","347.05K","0.95%"
"Aug 26, 2019","1,537.20","1,545.40","1,565.00","1,534.80","411.67K","-0.03%"
"Aug 23, 2019","1,537.60","1,508.80","1,540.30","1,503.00","473.00K","1.93%"
"Aug 22, 2019","1,508.50","1,512.40","1,514.60","1,502.10","279.41K","-0.48%"
"Aug 21, 2019","1,515.70","1,518.40","1,518.40","1,506.50","245.90K","0.00%"
"Aug 20, 2019","1,515.70","1,506.30","1,518.80","1,503.00","247.54K","0.27%"
"Aug 19, 2019","1,511.60","1,523.00","1,523.60","1,503.30","295.83K","-0.79%"
"Aug 16, 2019","1,523.60","1,533.90","1,538.60","1,513.90","322.46K","-0.50%"
"Aug 15, 2019","1,531.20","1,526.60","1,537.70","1,518.30","436.12K","0.22%"
"Aug 14, 2019","1,527.80","1,513.00","1,534.90","1,504.50","484.19K","0.90%"
"Aug 13, 2019","1,514.10","1,522.30","1,546.10","1,488.90","616.74K","-0.20%"
"Aug 12, 2019","1,517.20","1,509.20","1,531.50","1,498.60","355.10K","0.58%"
"Aug 09, 2019","1,508.50","1,515.90","1,521.10","1,506.20","332.61K","-0.07%"
"Aug 08, 2019","1,509.50","1,512.10","1,521.30","1,501.60","402.96K","-0.66%"
"Aug 07, 2019","1,519.60","1,486.70","1,522.70","1,484.30","651.55K","2.39%"
"Aug 06, 2019","1,484.20","1,481.10","1,486.80","1,468.20","381.92K","0.52%"
