"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 29, 2020","1,566.75","1,567.65","1,568.25","1,562.35","-","-0.05%"
"Jan 28, 2020","1,567.50","1,580.30","1,582.15","1,564.60","-","-0.63%"
"Jan 27, 2020","1,577.40","1,580.50","1,588.40","1,575.30","398.06K","-0.29%"
"Jan 26, 2020","1,581.95","1,571.65","1,588.10","1,571.65","-","0.64%"
"Jan 24, 2020","1,571.90","1,562.90","1,575.50","1,555.80","427.14K","0.42%"
"Jan 23, 2020","1,565.40","1,558.90","1,567.50","1,551.30","361.03K","0.56%"
"Jan 22, 2020","1,556.70","1,558.90","1,559.80","1,550.00","286.08K","-0.08%"
"Jan 21, 2020","1,557.90","1,557.30","1,568.80","1,546.00","462.62K","-0.21%"
"Jan 20, 2020","1,561.25","1,557.20","1,562.70","1,556.65","-","0.27%"
"Jan 19, 2020","1,557.05","1,557.40","1,559.05","1,556.45","-","-0.21%"
"Jan 17, 2020","1,560.30","1,553.00","1,561.40","1,549.30","264.93K","0.63%"
"Jan 16, 2020","1,550.50","1,556.60","1,558.20","1,548.00","260.05K","-0.23%"
"Jan 15, 2020","1,554.00","1,546.80","1,558.80","1,546.50","310.07K","0.61%"
"Jan 14, 2020","1,544.60","1,548.60","1,549.50","1,536.40","340.91K","-0.39%"
"Jan 13, 2020","1,550.60","1,563.00","1,563.10","1,547.00","311.73K","-0.61%"
"Jan 10, 2020","1,560.10","1,553.40","1,564.10","1,546.70","344.34K","0.37%"
"Jan 09, 2020","1,554.30","1,557.70","1,562.40","1,541.00","372.88K","-0.38%"
"Jan 08, 2020","1,560.20","1,578.80","1,613.30","1,553.40","813.41K","-0.90%"
"Jan 07, 2020","1,574.30","1,567.40","1,579.20","1,557.00","435.87K","0.35%"
"Jan 06, 2020","1,568.80","1,562.70","1,590.90","1,562.30","558.97K","1.06%"
"Jan 03, 2020","1,552.40","1,531.70","1,556.60","1,530.40","436.74K","1.59%"
"Jan 02, 2020","1,528.10","1,521.00","1,534.00","1,519.70","270.55K","0.47%"
"Jan 01, 2020","1,520.95","1,520.85","1,523.95","1,520.85","-","-0.14%"
"Dec 31, 2019","1,523.10","1,517.70","1,529.00","1,517.50","220.85K","0.30%"
"Dec 30, 2019","1,518.60","1,515.90","1,519.10","1,513.50","178.72K","0.03%"
"Dec 27, 2019","1,518.10","1,516.50","1,519.90","1,512.10","204.99K","0.24%"
"Dec 26, 2019","1,514.40","1,503.90","1,517.40","1,502.10","216.61K","0.69%"
"Dec 25, 2019","1,504.05","1,504.40","1,504.40","1,502.15","-","-0.05%"
"Dec 24, 2019","1,504.80","1,489.80","1,505.00","1,488.10","183.68K","1.08%"
"Dec 23, 2019","1,488.70","1,482.40","1,490.10","1,481.20","162.45K","0.53%"
"Dec 20, 2019","1,480.90","1,482.70","1,484.80","1,479.50","140.77K","-0.24%"
"Dec 19, 2019","1,484.40","1,479.40","1,485.80","1,477.10","201.19K","0.39%"
"Dec 18, 2019","1,478.70","1,480.40","1,483.60","1,474.30","197.97K","-0.13%"
"Dec 17, 2019","1,480.60","1,480.60","1,484.90","1,478.40","173.25K","0.01%"
"Dec 16, 2019","1,480.50","1,480.00","1,484.50","1,477.40","165.85K","-0.05%"
"Dec 13, 2019","1,481.20","1,470.80","1,482.50","1,465.50","356.68K","0.60%"
"Dec 12, 2019","1,472.30","1,479.20","1,491.60","1,468.20","409.86K","-0.18%"
"Dec 11, 2019","1,475.00","1,468.50","1,483.50","1,466.90","251.73K","0.47%"
"Dec 10, 2019","1,468.10","1,466.30","1,473.70","1,464.20","228.83K","0.22%"
"Dec 09, 2019","1,464.90","1,464.10","1,469.80","1,463.00","177.22K","-0.01%"
"Dec 06, 2019","1,465.10","1,481.00","1,485.30","1,463.30","317.32K","-1.21%"
"Dec 05, 2019","1,483.10","1,480.00","1,485.70","1,478.00","240.01K","0.20%"
"Dec 04, 2019","1,480.20","1,483.20","1,489.90","1,476.70","319.73K","-0.28%"
"Dec 03, 2019","1,484.40","1,468.00","1,487.70","1,465.40","400.90K","1.03%"
"Dec 02, 2019","1,469.20","1,470.30","1,471.70","1,459.80","316.58K","-0.24%"
"Nov 29, 2019","1,472.70","1,461.20","1,472.90","1,459.10","272.34K","0.71%"
"Nov 28, 2019","1,462.25","1,463.25","1,464.55","1,460.75","-","0.10%"
"Nov 27, 2019","1,460.80","1,468.30","1,469.10","1,459.10","232.12K","-0.45%"
"Nov 26, 2019","1,467.40","1,461.30","1,470.00","1,456.60","285.63K","0.25%"
"Nov 25, 2019","1,463.80","1,467.50","1,468.90","1,460.70","126.74K","-0.46%"
"Nov 22, 2019","1,470.50","1,470.90","1,480.30","1,468.10","81.55K","0.00%"
"Nov 21, 2019","1,470.50","1,481.30","1,482.70","1,469.40","75.50K","-0.71%"
"Nov 20, 2019","1,481.00","1,481.40","1,486.00","1,473.00","58.28K","-0.01%"
"Nov 19, 2019","1,481.20","1,477.90","1,482.60","1,471.80","35.81K","0.16%"
"Nov 18, 2019","1,478.80","1,475.10","1,481.10","1,463.30","33.19K","0.23%"
"Nov 15, 2019","1,475.40","1,478.70","1,478.90","1,469.80","31.13K","-0.32%"
"Nov 14, 2019","1,480.20","1,471.70","1,482.20","1,468.70","43.48K","0.68%"
"Nov 13, 2019","1,470.20","1,463.80","1,474.80","1,463.80","43.67K","0.66%"
"Nov 12, 2019","1,460.60","1,463.00","1,468.10","1,453.10","94.34K","0.24%"
